Date	Keyword	City	State	Value	Center	latitude	longitude
20230203	VinylChloride	Juneau	AK	100	Juneau	58.3019496	-134.419734
20230203	VinylChloride	Ottumwa IA-Kirksville	MO	43	Kirksville	40.1948848	-92.5833939
20230203	VinylChloride	Cheyenne WY-Scottsbluff	NE	34	Scottsbluff	41.862302	-103.6627088
20230203	VinylChloride	Mankato	MN	32	Mankato	44.1634663	-93.9993505
20230203	VinylChloride	Marquette	MI	23	Marquette	46.4481521	-87.6305899
20230203	VinylChloride	Youngstown	OH	20	Youngstown	41.1035786	-80.6520161
20230203	VinylChloride	Minot-Bismarck-Dickinson(Williston)	ND	16	Dickinson	46.8791756	-102.7896242
20230203	VinylChloride	Bowling Green	KY	15	Bowling Green	36.9903199	-86.4436018
20230203	VinylChloride	Lake Charles	LA	15	Lake Charles	30.2072293	-93.2061609
20230203	VinylChloride	Columbus	GA	14	Columbus	32.4610708	-84.9880449
20230203	VinylChloride	Amarillo	TX	13	Amarillo	35.2072185	-101.833824
20230203	VinylChloride	Augusta	GA	13	Augusta	33.4709714	-81.9748429
20230203	VinylChloride	Tyler-Longview(Lufkin & Nacogdoches)	TX	12	Longview	32.5007031	-94.74049
20230203	VinylChloride	Wilmington	NC	12	Wilmington	34.2257282	-77.9447107
20230203	VinylChloride	Biloxi-Gulfport	MS	10	Gulfport	30.3674198	-89.0928155
20230203	VinylChloride	Columbia-Jefferson City	MO	8	Jefferson City	38.577359	-92.1724265
20230203	VinylChloride	Idaho Falls-Pocatello	ID	6	Pocatello	42.8620287	-112.450627
20230203	VinylChloride	Knoxville	TN	6	Knoxville	35.9603948	-83.9210261
20230203	VinylChloride	Huntsville-Decatur (Florence)	AL	6	Decatur	34.6240205	-87.05791872812708
20230203	VinylChloride	Colorado Springs-Pueblo	CO	6	Pueblo	38.2544472	-104.609141
20230203	VinylChloride	Boise	ID	5	Boise	43.6166163	-116.200886
20230203	VinylChloride	Pittsburgh	PA	4	Pittsburgh	40.4416941	-79.9900861
20230203	VinylChloride	Roanoke-Lynchburg	VA	4	Lynchburg	37.4137536	-79.1422464
20230203	VinylChloride	Davenport IA-Rock Island-Moline	IL	4	Moline	41.5058344	-90.5136642
20230203	VinylChloride	Omaha	NE	4	Omaha	41.2587459	-95.9383758
20230203	VinylChloride	Jackson	MS	4	Jackson	32.3086744	-90.1983063
